fact_purchased_orders_link_to_ops,fact_purchased_orders_exposed_order_id,fact_purchased_orders_order_id,dim_users_link_to_ops,dim_users_user_id,fact_purchased_orders_purchased_date,dim_users_created_date,fact_purchased_items_total_base_revenue_excluding_refund,fact_purchased_items_total_estimated_cost
https://ops.curated.com/orders/AgAAACkAeQI1IRyET_euZ9hWCRUOmw,52074-52877,urn:order:79023521-1c84-4ff7-ae67-d85609150e9b,https://ops.curated.com/consumers/AgAAAAEAQ9czeInzRNCyydKJliH_CQ,urn:user:43d73378-89f3-44d0-b2c9-d2899621ff09,2022-12-14,2022-06-07,7719.460005,4510.085
https://ops.curated.com/orders/AgAAACkAM3cOstOfQaiugyOhDn6oUg,16040-74290,urn:order:33770eb2-d39f-41a8-ae83-23a10e7ea852,https://ops.curated.com/consumers/AgAAAAEAJasHj4ChQxCHXmo8y4ZxGA,urn:user:25ab078f-80a1-4310-875e-6a3ccb867118,2022-12-27,2022-12-22,4751.8,4464.11355
https://ops.curated.com/orders/AgAAACkA1eQTKrF7RxK9UxHa1gaG4A,94714-63350,urn:order:d5e4132a-b17b-4712-bd53-11dad60686e0,https://ops.curated.com/consumers/AgAAAAEABXy33UjQSr-xSRfSQmcXkw,urn:user:057cb7dd-48d0-4abf-b149-17d242671793,2022-12-22,2022-11-28,4318.69,2505.7875
https://ops.curated.com/orders/AgAAACkAeoQur7LbS2ytE0DrTH4STg,32380-00166,urn:order:7a842eaf-b2db-4b6c-ad13-40eb4c7e124e,https://ops.curated.com/consumers/AgAAAAEAvwHoIwM0QiyR7rw_V7ajiA,urn:user:bf01e823-0334-422c-91ee-bc3f57b6a388,2022-12-03,2022-12-02,4148.23,3117.7675
https://ops.curated.com/orders/AgAAACkABsc6ajlVQRi81gPvRrSDeA,33063-59868,urn:order:06c73a6a-3955-4118-bcd6-03ef46b48378,https://ops.curated.com/consumers/AgAAAAEAkMBFEI1-T8WcAtRpOBF8fg,urn:user:90c04510-8d7e-4fc5-9c02-d46938117c7e,2022-12-22,2022-12-18,3834.799999,2026.03
https://ops.curated.com/orders/AgAAACkAtuO5-hvCTG2DSdpsg-VMuA,58070-47352,urn:order:b6e3b9fa-1bc2-4c6d-8349-da6c83e54cb8,https://ops.curated.com/consumers/AgAAAAEAVuV8hyVRTcyZQXeVu7rWLw,urn:user:56e57c87-2551-4dcc-9941-7795bbbad62f,2022-12-08,2022-12-08,3356.389998,2387.5375
https://ops.curated.com/orders/AgAAACkALLPqQAWoRgWCU8RP51_U2w,41871-49639,urn:order:2cb3ea40-05a8-4605-8253-c44fe75fd4db,https://ops.curated.com/consumers/AgAAAAEAUHh7eegTRUyw-2ENXRFUhQ,urn:user:50787b79-e813-454c-b0fb-610d5d115485,2022-12-23,2022-12-12,3353.85,2170.175
https://ops.curated.com/orders/AgAAACkAQJj3NQLQTUm0Ra-YYGdscA,92760-62975,urn:order:4098f735-02d0-4d49-b445-af9860676c70,https://ops.curated.com/consumers/AgAAAAEAVuV8hyVRTcyZQXeVu7rWLw,urn:user:56e57c87-2551-4dcc-9941-7795bbbad62f,2022-12-08,2022-12-08,3272.85,2683.2915
https://ops.curated.com/orders/AgAAACkAlcpFyQ1FQJO-FXIdkolPOw,52194-27473,urn:order:95ca45c9-0d45-4093-be15-721d92894f3b,https://ops.curated.com/consumers/AgAAAAEAsNdXTpBNRdOPxeMNGtQxlA,urn:user:b0d7574e-904d-45d3-8fc5-e30d1ad43194,2022-12-01,2022-11-28,3169.81,1562.13
https://ops.curated.com/orders/AgAAACkAl4yGfj51TduzxsXquyWb5w,99211-11964,urn:order:978c867e-3e75-4ddb-b3c6-c5eabb259be7,https://ops.curated.com/consumers/AgAAAAEAOUe6ZxxkRgqlyE81k_OiiQ,urn:user:3947ba67-1c64-460a-a5c8-4f3593f3a289,2022-11-29,2022-11-26,3064.74,1809.08
https://ops.curated.com/orders/AgAAACkABN9Xfgw0T9OX2UbNPfYWkg,51751-79656,urn:order:04df577e-0c34-4fd3-97d9-46cd3df61692,https://ops.curated.com/consumers/AgAAAAEAeIvGBcwMTo24654mxYHylw,urn:user:788bc605-cc0c-4e8d-b8eb-9e26c581f297,2022-11-28,2022-11-28,3054.96,1974.81355
https://ops.curated.com/orders/AgAAACkA2W_XwIm6RCqgjYsXBwQUcA,19675-35100,urn:order:d96fd7c0-89ba-442a-a08d-8b1707041470,https://ops.curated.com/consumers/AgAAAAEAbs1TXujURii5tefwk9XMzA,urn:user:6ecd535e-e8d4-4628-b9b5-e7f093d5cccc,2022-12-09,2021-08-22,2941.812,2843.2775
https://ops.curated.com/orders/AgAAACkAIX3gCKa7To6fwNTm-FnfOQ,98171-09781,urn:order:217de008-a6bb-4e8e-9fc0-d4e6f859df39,https://ops.curated.com/consumers/AgAAAAEAP4TunhkSTPanaqT4PsU7MA,urn:user:3f84ee9e-1912-4cf6-a76a-a4f83ec53b30,2022-11-28,2022-11-28,2890.62,1612.49
https://ops.curated.com/orders/AgAAACkAZNg1fahGReGt6wE0wl6bqw,27857-28362,urn:order:64d8357d-a846-45e1-adeb-0134c25e9bab,https://ops.curated.com/consumers/AgAAAAEAK9CTjKBMSEmFFkwlwfhd2w,urn:user:2bd0938c-a04c-4849-8516-4c25c1f85ddb,2022-11-28,2022-11-26,2843.85,1664.69
https://ops.curated.com/orders/AgAAACkA1uzURm2LRm2y6Z-zdoD72g,89528-80913,urn:order:d6ecd446-6d8b-466d-b2e9-9fb37680fbda,https://ops.curated.com/consumers/AgAAAAEAiWktFWkbTaCF4gHG7PgmFQ,urn:user:89692d15-691b-4da0-85e2-01c6ecf82615,2022-12-31,2022-12-25,2797.83,1907.65
https://ops.curated.com/orders/AgAAACkAri0YA8-lRa-6xWqebYqmnQ,86334-20074,urn:order:ae2d1803-cfa5-45af-bac5-6a9e6d8aa69d,https://ops.curated.com/consumers/AgAAAAEAcU-s-BZ9QB2t7oV0eTJF0w,urn:user:714facf8-167d-401d-adee-8574793245d3,2022-12-19,2022-12-19,2789.340005,1724.71
https://ops.curated.com/orders/AgAAACkAEH1E7KyYQhiYo_U0StbUaQ,71004-14196,urn:order:107d44ec-ac98-4218-98a3-f5344ad6d469,https://ops.curated.com/consumers/AgAAAAEAiFwWtyO9Q9KUj2ylTZFDvA,urn:user:885c16b7-23bd-43d2-948f-6ca54d9143bc,2022-12-21,2022-05-31,2729.65,2230.01206
https://ops.curated.com/orders/AgAAACkAFdnTM95PRY2ru-oUfSYDrw,20577-89622,urn:order:15d9d333-de4f-458d-abbb-ea147d2603af,https://ops.curated.com/consumers/AgAAAAEA3Xn-h3c0R_-Ev_oRiO4dOA,urn:user:dd79fe87-7734-47ff-84bf-fa1188ee1d38,2022-12-09,2021-03-12,2719.5,1709.5775
https://ops.curated.com/orders/AgAAACkADRorQdyfRN-DI9wz4yn4bw,32317-39937,urn:order:0d1a2b41-dc9f-44df-8323-dc33e329f86f,https://ops.curated.com/consumers/AgAAAAEAsL4rZUUYS06pA4CGhXTPpA,urn:user:b0be2b65-4518-4b4e-a903-80868574cfa4,2022-12-01,2021-01-02,2637.75,1658.55
https://ops.curated.com/orders/AgAAACkAGSpa0BeRRkSAzHxs52wPvg,82833-33520,urn:order:192a5ad0-1791-4644-80cc-7c6ce76c0fbe,https://ops.curated.com/consumers/AgAAAAEAssMY72PhRVS3AgxYqOzsZg,urn:user:b2c318ef-63e1-4554-b702-0c58a8ecec66,2022-12-06,2022-12-01,2600.59,1994.89
https://ops.curated.com/orders/AgAAACkAMIvdNu9EQu62CD9ehrmWlQ,86521-66803,urn:order:308bdd36-ef44-42ee-b608-3f5e86b99695,https://ops.curated.com/consumers/AgAAAAEAzzE40b-LRZemXKxDmDQE7A,urn:user:cf3138d1-bf8b-4597-a65c-ac43983404ec,2022-12-29,2022-12-29,2534.69,1576.3175
https://ops.curated.com/orders/AgAAACkAs3naoyAJSDiEtG2NlgJbJw,43918-45638,urn:order:b379daa3-2009-4838-84b4-6d8d96025b27,https://ops.curated.com/consumers/AgAAAAEAXsE0POAhTraaLYFmwaiNOw,urn:user:5ec1343c-e021-4eb6-9a2d-8166c1a88d3b,2022-12-12,2021-03-11,2464.79,1527.2315
https://ops.curated.com/orders/AgAAACkAnuB2NXteQJeglzrhhHRBEQ,74164-40551,urn:order:9ee07635-7b5e-4097-a097-3ae184744111,https://ops.curated.com/consumers/AgAAAAEAfwYzqFW-TaeqrOkt01naEg,urn:user:7f0633a8-55be-4da7-aaac-e92dd359da12,2022-12-14,2022-12-13,2443.589997,1191.12
https://ops.curated.com/orders/AgAAACkARy6yBPAuQlarLO1Xhhyt3w,41807-02429,urn:order:472eb204-f02e-4256-ab2c-ed57861caddf,https://ops.curated.com/consumers/AgAAAAEAot8t2vVQQo2gkeiUaqZmkw,urn:user:a2df2dda-f550-428d-a091-e8946aa66693,2022-12-21,2022-12-17,2429.83,1512.95
https://ops.curated.com/orders/AgAAACkA1o07PeSfROys1LbBx8QDaw,81568-92134,urn:order:d68d3b3d-e49f-44ec-acd4-b6c1c7c4036b,https://ops.curated.com/consumers/AgAAAAEAHVbl_K3eQpGMLRqKbHzCwA,urn:user:1d56e5fc-adde-4291-8c2d-1a8a6c7cc2c0,2023-01-01,2022-12-31,2428.83,1534.08851
https://ops.curated.com/orders/AgAAACkAzApl3y2gTum46FrvuxCZlg,31284-04462,urn:order:cc0a65df-2da0-4ee9-b8e8-5aefbb109996,https://ops.curated.com/consumers/AgAAAAEA7rnYBapbTvyjRhiCuIwxkQ,urn:user:eeb9d805-aa5b-4efc-a346-1882b88c3191,2022-12-09,2022-08-09,2399.73,1155.25
https://ops.curated.com/orders/AgAAACkAjVlKI9jqS0uirz1snktt7w,34136-27181,urn:order:8d594a23-d8ea-4b4b-a2af-3d6c9e4b6def,https://ops.curated.com/consumers/AgAAAAEAqNgJXoFASjWMA7cPhAunIQ,urn:user:a8d8095e-8140-4a35-8c03-b70f840ba721,2022-12-04,2022-12-03,2385.69,1674.65
https://ops.curated.com/orders/AgAAACkAH7IJbOf-TC-MVhrBrY4iDQ,54120-98379,urn:order:1fb2096c-e7fe-4c2f-8c56-1ac1ad8e220d,https://ops.curated.com/consumers/AgAAAAEAN-GVzLKLS_SCglC9hd3h8w,urn:user:37e195cc-b28b-4bf4-8282-50bd85dde1f3,2022-12-08,2022-12-07,2384.8,1524.02
https://ops.curated.com/orders/AgAAACkAlSOacKKsS3aWWfdQ-SxraA,35971-21869,urn:order:95239a70-a2ac-4b76-9659-f750f92c6b68,https://ops.curated.com/consumers/AgAAAAEA_-aKdx_7SA2Ybvry4Bk9dA,urn:user:ffe68a77-1ffb-480d-986e-faf2e0193d74,2022-12-31,2022-12-31,2334.74,1627.09
https://ops.curated.com/orders/AgAAACkABWO1twJyS7O13QaiBj-V_w,84283-18780,urn:order:0563b5b7-0272-4bb3-b5dd-06a2063f95ff,https://ops.curated.com/consumers/AgAAAAEAkOk16GCtQQGUHy7CYR3rEQ,urn:user:90e935e8-60ad-4101-941f-2ec2611deb11,2022-12-15,2022-12-15,2318.83,1503.913
https://ops.curated.com/orders/AgAAACkA2xBY41v7TFme0YVUTjAh_A,80852-35395,urn:order:db1058e3-5bfb-4c59-9ed1-85544e3021fc,https://ops.curated.com/consumers/AgAAAAEA10gg5k_QRY6Tqh9gSYSLTw,urn:user:d74820e6-4fd0-458e-93aa-1f6049848b4f,2022-12-10,2022-12-10,2315.79,1694.98
https://ops.curated.com/orders/AgAAACkAd2-j1nbmSn-OteLl9MvKbg,83027-87604,urn:order:776fa3d6-76e6-4a7f-8eb5-e2e5f4cbca6e,https://ops.curated.com/consumers/AgAAAAEA5lg7X7tPQQWrrPwunrKHZA,urn:user:e6583b5f-bb4f-4105-abac-fc2e9eb28764,2022-12-09,2022-01-14,2305.44,1816.092
https://ops.curated.com/orders/AgAAACkA1EVODrDrRkuJnXz8Ep4__g,65328-05863,urn:order:d4454e0e-b0eb-464b-899d-7cfc129e3ffe,https://ops.curated.com/consumers/AgAAAAEAWQWiroyHQf2mwFD0OtFY_Q,urn:user:5905a2ae-8c87-41fd-a6c0-50f43ad158fd,2022-12-29,2022-12-01,2294.84,1658.799
https://ops.curated.com/orders/AgAAACkA_WsxoohtR9mVBoE5ugSRFA,12631-93358,urn:order:fd6b31a2-886d-47d9-9506-8139ba049114,https://ops.curated.com/consumers/AgAAAAEALqTJnR5SQS-VqUyFr3rOnA,urn:user:2ea4c99d-1e52-412f-95a9-4c85af7ace9c,2022-12-30,2022-12-29,2289.7,1752.71645
https://ops.curated.com/orders/AgAAACkAPWf1tninTmqq8DSctpyanQ,56386-12840,urn:order:3d67f5b6-78a7-4e6a-aaf0-349cb69c9a9d,https://ops.curated.com/consumers/AgAAAAEAz8mddGMdQWKDOdBb749VKA,urn:user:cfc99d74-631d-4162-8339-d05bef8f5528,2022-12-18,2022-10-14,2267.7799999999997,1904.09
