attributed_at_date,source_group,source,spend_usd
1/1/23,paid,facebook ads,"$2,431.02 "
1/1/23,paid,bing ads,$422.84 
12/31/22,paid,bing ads,$490.13 
12/31/22,paid,facebook ads,"$1,590.47 "
12/31/22,paid,google ads,$77.35 
12/30/22,paid,google ads,"$4,967.98 "
12/30/22,paid,bing ads,$504.13 
12/30/22,paid,facebook ads,"$1,375.37 "
12/29/22,paid,google ads,"$13,124.03 "
12/29/22,paid,facebook ads,$861.67 
12/29/22,paid,bing ads,$462.78 
12/28/22,paid,google ads,"$12,446.32 "
12/28/22,paid,bing ads,$523.00 
12/28/22,paid,facebook ads,"$1,290.86 "
12/27/22,paid,bing ads,$597.69 
12/27/22,paid,facebook ads,"$2,162.92 "
12/27/22,paid,google ads,"$11,771.60 "
12/26/22,paid,bing ads,$565.88 
12/26/22,paid,google ads,"$18,968.02 "
12/26/22,paid,facebook ads,"$2,067.91 "
12/25/22,paid,google ads,$374.86 
12/25/22,paid,bing ads,$455.46 
12/24/22,paid,google ads,"$13,330.81 "
12/24/22,paid,facebook ads,"$1,485.19 "
12/24/22,paid,bing ads,$375.77 
12/23/22,paid,facebook ads,"$2,045.78 "
12/23/22,paid,google ads,"$13,291.16 "
12/23/22,paid,bing ads,$518.57 
12/22/22,paid,bing ads,$562.08 
12/22/22,paid,google ads,"$16,680.16 "
12/22/22,paid,facebook ads,"$1,781.40 "
12/21/22,paid,facebook ads,"$1,945.22 "
12/21/22,paid,google ads,"$17,193.83 "
12/21/22,paid,bing ads,$618.77 
12/20/22,paid,facebook ads,"$3,097.23 "
12/20/22,paid,bing ads,$685.27 
12/20/22,paid,google ads,"$21,022.47 "
12/19/22,paid,bing ads,$816.29 
12/19/22,paid,google ads,"$20,915.20 "
12/19/22,paid,facebook ads,"$3,770.72 "
12/18/22,paid,google ads,"$20,439.51 "
12/18/22,paid,facebook ads,"$3,059.40 "
12/18/22,paid,bing ads,$735.31 
12/17/22,paid,facebook ads,"$1,900.82 "
12/17/22,paid,bing ads,$615.03 
12/17/22,paid,google ads,"$10,739.17 "
12/16/22,paid,bing ads,$625.78 
12/16/22,paid,google ads,"$19,556.33 "
12/16/22,paid,facebook ads,"$2,619.98 "
12/15/22,paid,google ads,"$16,385.87 "
12/15/22,paid,facebook ads,"$2,185.03 "
12/15/22,paid,bing ads,$604.49 
12/14/22,paid,facebook ads,"$2,076.15 "
12/14/22,paid,bing ads,$555.83 
12/14/22,paid,google ads,"$17,164.39 "
12/13/22,paid,facebook ads,"$2,365.97 "
12/13/22,paid,bing ads,$561.84 
12/13/22,paid,google ads,"$19,244.73 "
12/12/22,paid,bing ads,$560.72 
12/12/22,paid,facebook ads,"$3,076.76 "
12/12/22,paid,google ads,"$23,985.73 "
12/11/22,paid,google ads,"$30,227.48 "
12/11/22,paid,facebook ads,"$2,328.47 "
12/11/22,paid,bing ads,$699.67 
12/10/22,paid,google ads,"$22,994.87 "
12/10/22,paid,facebook ads,"$1,307.08 "
12/10/22,paid,bing ads,$596.54 
12/9/22,paid,facebook ads,$825.37 
12/9/22,paid,bing ads,$506.18 
12/9/22,paid,google ads,"$19,038.44 "
12/8/22,paid,bing ads,$584.91 
12/8/22,paid,facebook ads,"$1,102.87 "
12/8/22,paid,google ads,"$16,813.52 "
12/7/22,paid,bing ads,$713.70 
12/7/22,paid,facebook ads,"$1,907.27 "
12/7/22,paid,google ads,"$15,758.10 "
12/6/22,paid,google ads,"$15,182.92 "
12/6/22,paid,bing ads,$663.12 
12/6/22,paid,facebook ads,"$2,081.80 "
12/5/22,paid,facebook ads,"$1,142.25 "
12/5/22,paid,google ads,"$17,377.08 "
12/5/22,paid,bing ads,$694.79 
12/4/22,paid,bing ads,$749.54 
12/4/22,paid,google ads,"$17,262.35 "
12/4/22,paid,facebook ads,"$2,466.68 "
12/3/22,paid,google ads,"$25,814.81 "
12/3/22,paid,bing ads,$713.98 
12/3/22,paid,facebook ads,"$2,682.19 "
12/2/22,paid,facebook ads,"$1,553.18 "
12/2/22,paid,google ads,"$29,472.82 "
12/2/22,paid,bing ads,$588.97 
12/1/22,paid,facebook ads,"$1,614.64 "
12/1/22,paid,google ads,"$41,107.65 "
12/1/22,paid,bing ads,$588.38 
11/30/22,paid,google ads,"$32,464.94 "
11/30/22,paid,bing ads,$646.71 
11/30/22,paid,facebook ads,"$2,567.71 "
11/29/22,paid,google ads,"$32,229.29 "
11/29/22,paid,facebook ads,"$1,242.02 "
11/29/22,paid,bing ads,$665.46 
11/28/22,paid,bing ads,$969.27 
11/28/22,paid,google ads,"$52,109.67 "
11/28/22,paid,facebook ads,"$1,952.90 "
11/27/22,paid,bing ads,$633.24 
11/27/22,paid,google ads,"$45,946.03 "
11/27/22,paid,facebook ads,"$4,039.97 "
11/26/22,paid,google ads,"$42,305.39 "
11/26/22,paid,bing ads,$415.79 
11/26/22,paid,facebook ads,"$7,528.79 "
11/25/22,paid,facebook ads,"$3,238.27 "
11/25/22,paid,bing ads,$671.93 
11/25/22,paid,google ads,"$54,608.74 "
11/24/22,paid,facebook ads,"$1,964.29 "
11/24/22,paid,google ads,"$28,356.14 "
11/24/22,paid,bing ads,$422.97 
11/23/22,paid,google ads,"$27,633.74 "
11/23/22,paid,bing ads,$501.02 
11/23/22,paid,facebook ads,"$1,023.97 "
11/22/22,paid,bing ads,$631.91 
11/22/22,paid,google ads,"$31,348.40 "
11/22/22,paid,facebook ads,"$1,141.10 "
11/21/22,paid,bing ads,$962.69 
11/21/22,paid,google ads,"$41,711.25 "
11/21/22,paid,facebook ads,"$3,104.30 "
11/20/22,paid,facebook ads,"$3,627.28 "
11/20/22,paid,google ads,"$44,823.19 "
11/20/22,paid,bing ads,$885.66 
11/19/22,paid,google ads,"$43,713.83 "
11/19/22,paid,facebook ads,"$3,321.36 "
11/19/22,paid,bing ads,$752.46 
11/18/22,paid,bing ads,$705.42 
11/18/22,paid,facebook ads,"$2,925.24 "
11/18/22,paid,google ads,"$41,568.22 "
11/17/22,paid,facebook ads,"$3,135.38 "
11/17/22,paid,bing ads,$733.17 
11/17/22,paid,google ads,"$38,619.00 "
11/16/22,paid,facebook ads,"$3,219.31 "
11/16/22,paid,google ads,"$34,327.06 "
11/16/22,paid,bing ads,$820.21 
11/15/22,paid,bing ads,$759.37 
11/15/22,paid,google ads,"$32,761.56 "
11/15/22,paid,facebook ads,"$3,572.56 "
11/14/22,paid,bing ads,$831.30 
11/14/22,paid,google ads,"$31,844.90 "
11/14/22,paid,facebook ads,"$3,562.74 "
11/13/22,paid,google ads,"$32,485.59 "
11/13/22,paid,bing ads,$846.70 
11/13/22,paid,facebook ads,"$3,657.69 "
11/12/22,paid,google ads,"$27,532.46 "
11/12/22,paid,facebook ads,"$4,021.62 "
11/12/22,paid,bing ads,$801.42 
11/11/22,paid,facebook ads,"$3,768.25 "
11/11/22,paid,bing ads,$604.71 
11/11/22,paid,google ads,"$18,880.09 "
11/10/22,paid,google ads,"$12,570.44 "
11/10/22,paid,facebook ads,"$2,934.45 "
11/10/22,paid,bing ads,$506.73 
11/9/22,paid,bing ads,$453.05 
11/9/22,paid,google ads,"$9,671.85 "
11/9/22,paid,facebook ads,$932.37 
11/8/22,paid,facebook ads,"$3,041.84 "
11/8/22,paid,bing ads,$396.69 
11/8/22,paid,google ads,"$14,663.30 "
11/7/22,paid,google ads,"$17,135.50 "
11/7/22,paid,facebook ads,"$3,104.55 "
11/7/22,paid,bing ads,$557.64 
11/6/22,paid,google ads,"$23,614.37 "
11/6/22,paid,bing ads,$488.46 
11/6/22,paid,facebook ads,"$3,223.12 "
11/5/22,paid,bing ads,$388.78 
11/5/22,paid,google ads,"$21,960.30 "
11/5/22,paid,facebook ads,"$2,480.02 "
11/4/22,paid,facebook ads,"$1,432.52 "
11/4/22,paid,google ads,"$15,017.24 "
11/4/22,paid,bing ads,$171.10 
11/3/22,paid,bing ads,$190.64 
11/3/22,paid,google ads,"$14,616.96 "
11/3/22,paid,facebook ads,"$1,584.78 "
11/2/22,paid,google ads,"$13,167.28 "
11/2/22,paid,facebook ads,"$1,404.89 "
11/2/22,paid,bing ads,$159.14 
11/1/22,paid,google ads,"$12,537.97 "
11/1/22,paid,facebook ads,"$1,762.49 "
11/1/22,paid,bing ads,$141.62 
10/31/22,paid,facebook ads,"$2,188.74 "
10/31/22,paid,bing ads,$143.37 
10/31/22,paid,google ads,"$11,279.03 "
10/30/22,paid,google ads,"$12,198.55 "
10/30/22,paid,facebook ads,"$2,690.64 "
10/30/22,paid,bing ads,$128.11 
10/29/22,paid,facebook ads,"$2,004.22 "
10/29/22,paid,bing ads,$133.30 
10/29/22,paid,google ads,"$10,090.11 "
10/28/22,paid,facebook ads,"$2,880.85 "
10/28/22,paid,google ads,"$7,226.87 "
10/28/22,paid,bing ads,$207.14 
10/27/22,paid,bing ads,$245.69 
10/27/22,paid,facebook ads,"$3,554.42 "
10/27/22,paid,google ads,"$6,862.82 "
10/26/22,paid,bing ads,$262.00 
10/26/22,paid,facebook ads,"$1,880.33 "
10/26/22,paid,google ads,"$7,740.21 "
10/25/22,paid,facebook ads,"$2,661.70 "
10/25/22,paid,google ads,"$8,369.41 "
10/25/22,paid,bing ads,$276.74 
10/24/22,paid,google ads,"$9,603.25 "
10/24/22,paid,bing ads,$272.10 
10/24/22,paid,facebook ads,"$2,997.86 "
10/23/22,paid,google ads,"$12,008.04 "
10/23/22,paid,facebook ads,"$2,294.86 "
