,att
affiliate,-837.2386695216632
backlink,-609.1547638831944
bing,-805.0439881279564
bing ads,-394.92736935779413
bot,-810.443705826619
campaign,626.6722119483159
consumer email signup,-836.9101630804626
consumer referral,-609.8072064564091
direct,4532.109448391579
expert affiliate,-627.5284452966638
expert recruitment referral,-826.2085173982061
expert referral,-814.5487989940293
facebook,-776.8044268053204
facebook ads,612.4979781287384
google,2253.352852541379
google ads,8086.196322732298
google shopping,1327.9949328235236
impact,-685.4502993016202
indeed ads,-834.3459228923216
influencer,-833.4651335094404
instagram,-803.0693784136959
jazz hire,-828.4804336981764
linkedin,-835.1489656373723
linkedin ads,-836.9428552053129
malakye,-839.0405629583789
newschoolers,-838.9717570572338
other,-815.7377861784212
pga,-838.7659644938071
pinterest,-838.7378272252884
sms,-839.0405629583789
trigger,15935.285591611826
twitter,-838.743542080658
uscsa,-839.0209629826037
wm,-834.2698035662149
yahoo,-722.8442285802412
youtube,-643.417296690176
